model,model_short,prompt,subjects_mode,accuracy,macro_f1,n,tn,fp,fn,tp,mean_confidence,mean_conf_correct,mean_conf_wrong
google/gemma-7b-it,gemma-7b-it,P0_basic,human_subjects,0.611681136543015,0.5903685712933904,1267,243,310,182,532,1.714788465492351e-05,1.6942562595490486e-05,1.747130863065642e-05
google/gemma-7b-it,gemma-7b-it,P4_subjects_as_context_clues,human_subjects,0.6101026045777427,0.5905309572408017,1267,248,305,189,525,2.0858473728845322e-05,2.0418793232906684e-05,2.1546475800425416e-05
google/gemma-7b-it,gemma-7b-it,P0_basic,ext_domain_top1,0.6077348066298343,0.5857311557375701,1267,239,314,183,531,1.64751095760499e-05,1.6536728128210292e-05,1.637964421354789e-05
google/gemma-7b-it,gemma-7b-it,P0_basic,no_subjects,0.606156274664562,0.5912440802340428,1267,263,290,209,505,1.0998962239759967e-05,1.0622510065635046e-05,1.1578351557852032e-05
google/gemma-7b-it,gemma-7b-it,P4_subjects_as_context_clues,ext_domain_top1,0.6022099447513812,0.5813217938630999,1267,240,313,191,523,1.5368871831856287e-05,1.4944282771719236e-05,1.6011652492341543e-05
google/gemma-7b-it,gemma-7b-it,P4_subjects_as_context_clues,no_subjects,0.601420678768745,0.5993993196797625,1267,336,217,288,426,1.1454864854217986e-05,1.0521236679998282e-05,1.2863626574525739e-05
meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct,P4_subjects_as_context_clues,no_subjects,0.49171270718232046,0.44998004702431027,1267,486,67,577,137,0.0001928733857297107,0.00017071258198966184,0.00021431155456519275
meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct,P0_basic,human_subjects,0.48145224940805054,0.4160565354367165,1267,517,36,621,93,4.4800911536815137e-05,4.598146579304679e-05,4.370481093361679e-05
meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct,P4_subjects_as_context_clues,human_subjects,0.47434885556432516,0.41049182618415536,1267,509,44,622,92,0.00012334449703333976,0.0001154798834573806,0.00013044154321825181
meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct,P0_basic,ext_domain_top1,0.4711917916337806,0.39754016919320956,1267,520,33,637,77,4.6486589225522156e-05,4.831031339252415e-05,4.4861569333432324e-05
meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct,P4_subjects_as_context_clues,ext_domain_top1,0.4664561957379637,0.3973662583869951,1267,510,43,633,81,0.000142358613936282,0.00013181582320160066,0.00015157575790698713
meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct,P0_basic,no_subjects,0.4554064719810576,0.3591666373456247,1267,534,19,671,43,5.614042470280166e-05,5.715982133015809e-05,5.5287972740505056e-05
