model,accuracy,n_samples,tn,fp,fn,tp
flan-t5-xl,0.5785319652722968,1267,280,273,261,453
bert-base-uncased,0.5726698262243286,1266,40,513,28,685
gpt-j-6B,0.56353591160221,1267,1,552,1,713
deepseek-llm-7b-base,0.56353591160221,1267,1,552,1,713
Llama-3.1-8B-Instruct,0.56353591160221,1267,1,552,1,713
gemma-2b-it,0.56353591160221,1267,1,552,1,713
gemma-7b-it,0.56353591160221,1267,1,552,1,713
bert-large-uncased,0.5631911532385466,1266,0,553,0,713
t5-base,0.5554675118858954,1262,29,523,38,672
flan-t5-xxl,0.5458135860979463,1266,430,123,452,261
roberta-base,0.5229067930489731,1266,213,340,264,449
flan-t5-base,0.5221169036334913,1266,351,202,403,310
roberta-large,0.47393364928909953,1266,349,204,462,251
