model,accuracy,n_samples,tn,fp,fn,tp
gemma-7b-it,0.611681136543015,1267,222,331,161,553
flan-t5-xl,0.5785319652722968,1267,280,273,261,453
bert-base-uncased,0.5730071033938438,1267,40,513,28,686
bert-large-uncased,0.56353591160221,1267,0,553,0,714
gpt-j-6B,0.5619573796369376,1267,2,551,4,710
gemma-2b-it,0.5611681136543015,1267,117,436,120,594
t5-base,0.5485398579321231,1267,49,504,68,646
flan-t5-xxl,0.5461720599842147,1267,430,123,452,262
Llama-3.1-8B-Instruct,0.5288082083662194,1267,445,108,489,225
roberta-base,0.5232833464877664,1267,213,340,264,450
flan-t5-base,0.5224940805051302,1267,351,202,403,311
roberta-large,0.47434885556432516,1267,349,204,462,252
deepseek-llm-7b-base,0.43646408839779005,1267,552,1,713,1
