model,accuracy,n_samples,tn,fp,fn,tp
gemma-7b-it,0.6077348066298343,1267,192,361,136,578
flan-t5-xl,0.5706393054459353,1267,334,219,325,389
Llama-3.1-8B-Instruct,0.5682715074980268,1267,381,172,375,339
bert-base-uncased,0.5674822415153907,1267,13,540,8,706
bert-large-uncased,0.56353591160221,1267,0,553,0,714
gemma-2b-it,0.5627466456195738,1267,104,449,105,609
gpt-j-6B,0.5564325177584846,1267,3,550,12,702
flan-t5-xxl,0.5374901341752171,1267,440,113,473,241
flan-t5-base,0.5090765588003157,1267,387,166,456,258
t5-base,0.49329123914759276,1267,152,401,241,473
roberta-large,0.4498816101026046,1267,503,50,647,67
roberta-base,0.44593528018942385,1267,489,64,638,76
deepseek-llm-7b-base,0.43725335438042623,1267,553,0,713,1
