model,accuracy,n_samples,tn,fp,fn,tp
flan-t5-xl,0.5706393054459353,1267,334,219,325,389
bert-base-uncased,0.5671406003159558,1266,13,540,8,705
gpt-j-6B,0.56353591160221,1267,1,552,1,713
deepseek-llm-7b-base,0.56353591160221,1267,1,552,1,713
Llama-3.1-8B-Instruct,0.56353591160221,1267,1,552,1,713
gemma-2b-it,0.56353591160221,1267,1,552,1,713
gemma-7b-it,0.56353591160221,1267,1,552,1,713
bert-large-uncased,0.5631911532385466,1266,0,553,0,713
t5-base,0.5549407114624506,1265,8,545,18,694
flan-t5-xxl,0.5371248025276462,1266,440,113,473,240
flan-t5-base,0.5086887835703001,1266,387,166,456,257
roberta-large,0.44944707740916273,1266,503,50,647,66
roberta-base,0.44549763033175355,1266,489,64,638,75
